alignment	lenght	from	to
At3g10920_supercontig.fasta	11003	457865	468867
At3g12600_supercontig.fasta	4088	468868	472955
At3g13200_supercontig.fasta	6352	472956	479307
At3g15640_supercontig.fasta	3058	479308	482365
At3g18760_supercontig.fasta	2480	482366	484845
At3g19900_supercontig.fasta	4235	484846	489080
At3g21400_supercontig.fasta	5985	489081	495065
At3g24730_supercontig.fasta	5864	495066	500929
At3g26070_supercontig.fasta	4031	500930	504960
At3g27340_supercontig.fasta	6842	504961	511802
At3g44680_supercontig.fasta	2494	511803	514296
At3g46560_supercontig.fasta	4018	514297	518314
At3g47810_supercontig.fasta	3808	518315	522122
At3g47860_supercontig.fasta	7723	522123	529845
At3g48030_supercontig.fasta	2148	529846	531993
At3g50860_supercontig.fasta	3914	531994	535907
At3g51800_supercontig.fasta	5440	535908	541347
At3g52300_supercontig.fasta	4978	541348	546325
At3g52750_supercontig.fasta	7663	546326	553988
At3g53140_supercontig.fasta	11086	553989	565074
At3g57810_supercontig.fasta	7771	565075	572845
At3g57870_supercontig.fasta	5053	572846	577898
At3g60600_supercontig.fasta	4710	577899	582608
At3g62600_supercontig.fasta	2594	582609	585202
At4g00585_supercontig.fasta	2664	585203	587866
At4g01100_supercontig.fasta	14286	587867	602152
At4g01310_supercontig.fasta	5169	602153	607321
At4g01710_supercontig.fasta	5887	607322	613208
At4g02790_supercontig.fasta	2403	613209	615611
At4g02980_supercontig.fasta	3430	615612	619041
At4g03100_supercontig.fasta	5724	619042	624765
At4g03560_supercontig.fasta	3794	624766	628559
At4g04210_supercontig.fasta	2437	628560	630996
At4g11420_supercontig.fasta	7434	630997	638430
At4g12780_supercontig.fasta	2373	638431	640803
At4g12790_supercontig.fasta	4171	640804	644974
At4g14110_supercontig.fasta	6309	644975	651283
At4g14710_supercontig.fasta	2230	651284	653513
At4g16210_supercontig.fasta	8548	653514	662061
At4g16520_supercontig.fasta	7283	662062	669344
At4g25370_supercontig.fasta	22956	669345	692300
At4g26100_supercontig.fasta	4956	692301	697256
At4g31930_supercontig.fasta	5200	697257	702456
At4g33250_supercontig.fasta	3076	702457	705532
At4g34430_supercontig.fasta	3294	705533	708826
At5g04420_supercontig.fasta	2110	708827	710936
At5g05920_supercontig.fasta	15102	710937	726038
At5g08370_supercontig.fasta	4473	726039	730511
At5g09920_supercontig.fasta	9251	730512	739762
At5g10480_supercontig.fasta	6830	739763	746592
At5g11500_supercontig.fasta	10087	746593	756679
At5g11680_supercontig.fasta	7893	756680	764572
At5g11950_supercontig.fasta	3925	764573	768497
At5g12040_supercontig.fasta	2717	768498	771214
At5g14220_supercontig.fasta	2595	771215	773809
At5g14250_supercontig.fasta	2424	773810	776233
At5g14320_supercontig.fasta	6378	776234	782611
At5g15610_supercontig.fasta	2252	782612	784863
At5g15750_supercontig.fasta	14463	784864	799326
At5g17560_supercontig.fasta	2557	799327	801883
At5g20070_supercontig.fasta	3257	801884	805140
At5g22360_supercontig.fasta	10271	805141	815411
At5g25080_supercontig.fasta	2866	815412	818277
At5g25757_supercontig.fasta	10331	818278	828608
At5g26240_supercontig.fasta	5089	828609	833697
At5g40370_supercontig.fasta	3018	833698	836715
At5g42800_supercontig.fasta	3950	836716	840665
At5g46390_supercontig.fasta	5072	840666	845737
At5g47570_supercontig.fasta	3189	845738	848926
At5g49960_supercontig.fasta	3686	848927	852612
At5g52520_supercontig.fasta	5529	852613	858141
At5g53280_supercontig.fasta	4675	858142	862816
At5g53650_supercontig.fasta	2551	862817	865367
At5g55260_supercontig.fasta	12681	865368	878048
At5g55610_supercontig.fasta	2784	878049	880832
At5g56130_supercontig.fasta	3002	880833	883834
At5g56290_supercontig.fasta	3721	883835	887555
At5g57860_supercontig.fasta	2197	887556	889752
At5g58560_supercontig.fasta	12726	889753	902478
At5g59180_supercontig.fasta	10307	902479	912785
At5g59610_supercontig.fasta	2466	912786	915251
At5g64040_supercontig.fasta	2933	915252	918184
At5g64180_supercontig.fasta	6905	918185	925089
At5g64370_supercontig.fasta	3111	925090	928200
At5g65270_supercontig.fasta	8735	928201	936935
At5g66680_supercontig.fasta	6788	936936	943723
